created_at,suburb,time,status,location,area,Minimum Temperature,Maximum Temperature,Rainfall,Evaporation,Sunshine,Direction Max Wind Gust,Speed Max Wind Gust,Time Max Wind Gust
2023-12-22 07:36:59+00:00,Gidgegannup,15:36:00,EMERGENCY WARNING,"BAILUP, GIDGEGANNUP, WUNDOWIE, WOOROLOO and MORANGUP","CITY OF SWAN and the SHIRES OF MUNDARING, NORTHAM and TOODYAY",18.5,32.8,0.0,12.6,12.6,W,30,11:31
2023-12-22 07:57:33+00:00,Gidgegannup,15:57:00,EMERGENCY WARNING,"BAILUP, GIDGEGANNUP, WUNDOWIE, WOOROLOO and MORANGUP","CITY OF SWAN and the SHIRES OF MUNDARING, NORTHAM and TOODYAY",18.5,32.8,0.0,12.6,12.6,W,30,11:31
2023-12-22 08:50:07+00:00,Gidgegannup,16:50:00,EMERGENCY WARNING,"BAILUP, GIDGEGANNUP and WOOROLOO",CITY OF SWAN and the SHIRE OF MUNDARING,18.5,32.8,0.0,12.6,12.6,W,30,11:31
2023-12-22 09:55:31+00:00,Gidgegannup,17:55:00,EMERGENCY WARNING,"BAILUP, GIDGEGANNUP and WOOROLOO",CITY OF SWAN and the SHIRE OF MUNDARING,18.5,32.8,0.0,12.6,12.6,W,30,11:31
2023-12-22 10:47:58+00:00,Gidgegannup,18:47:00,EMERGENCY WARNING,"BAILUP, GIDGEGANNUP and WOOROLOO",CITY OF SWAN and the SHIRE OF MUNDARING,18.5,32.8,0.0,12.6,12.6,W,30,11:31
2023-12-22 11:02:51+00:00,Gidgegannup,19:02:00,EMERGENCY WARNING,"BAILUP, GIDGEGANNUP and WOOROLOO",CITY OF SWAN and the SHIRE OF MUNDARING,18.5,32.8,0.0,12.6,12.6,W,30,11:31
2023-12-22 12:00:28+00:00,Gidgegannup,20:00:00,EMERGENCY WARNING,"BAILUP, GIDGEGANNUP and WOOROLOO",CITY OF SWAN and the SHIRE OF MUNDARING,18.5,32.8,0.0,12.6,12.6,W,30,11:31
2023-12-22 12:18:08+00:00,Gidgegannup,20:18:00,WATCH AND ACT,"BAILUP, GIDGEGANNUP and WOOROLOO",CITY OF SWAN and the SHIRE OF MUNDARING,18.5,32.8,0.0,12.6,12.6,W,30,11:31
2023-12-22 14:00:42+00:00,Gidgegannup,22:00:00,WATCH AND ACT,"BAILUP, GIDGEGANNUP and WOOROLOO",CITY OF SWAN and the SHIRE OF MUNDARING,18.5,32.8,0.0,12.6,12.6,W,30,11:31
2023-12-22 16:00:04+00:00,Gidgegannup,0:00:00,WATCH AND ACT,"BAILUP, GIDGEGANNUP and WOOROLOO",CITY OF SWAN and the SHIRE OF MUNDARING,18.5,32.8,0.0,12.6,12.6,W,30,11:31
2023-12-22 18:00:04+00:00,Gidgegannup,2:00:00,WATCH AND ACT,"BAILUP, GIDGEGANNUP and WOOROLOO",CITY OF SWAN and the SHIRE OF MUNDARING,18.5,32.8,0.0,12.6,12.6,W,30,11:31
